"Freq [GHz]","re(Y(1,1)) []","im(Y(1,1)) []","re(Y(1,2)) []","im(Y(1,2)) []","re(Y(2,1)) []","im(Y(2,1)) []","re(Y(2,2)) []","im(Y(2,2)) []"
0.1,0.00386718377242447,-0.126995243019198,-0.00386693001937833,0.128156172223691,-0.00386693001937844,0.128156172223691,0.00386703116342528,-0.126977561469018
0.2,0.00146771207661839,-0.0629375191492564,-0.0014679022145462,0.0652679285491961,-0.00146790221454579,0.0652679285491964,0.00146854909591769,-0.0629004260173575
0.3,0.000822192910916974,-0.0407981109507357,-0.000820773599399093,0.0443209700803796,-0.000820773599398868,0.0443209700803796,0.000822410893881433,-0.0407444369229638
0.4,0.000546101894743139,-0.0292381745055164,-0.000542339926037143,0.0339838916054815,-0.000542339926037075,0.0339838916054815,0.000545915239603921,-0.0291667227830529
0.5,0.000399274722271073,-0.0219203618044469,-0.000392647281739952,0.0279322931875539,-0.000392647281739925,0.0279322931875539,0.000398942796704635,-0.0218307039213522
0.6,0.000310901778492068,-0.0167129065738648,-0.000300526366288293,0.0240487513884751,-0.000300526366288278,0.024048751388475,0.000310523443928017,-0.0166047901400612
0.7,0.000253662708634453,-0.0126929646174151,-0.000238259567609558,0.0214270246190737,-0.000238259567609561,0.0214270246190737,0.000253264403001661,-0.0125661130839304
0.8,0.000215076361086012,-0.0093917248492431,-0.000192941605324474,0.0196183412183307,-0.000192941605324478,0.0196183412183307,0.000214664660701024,-0.00924579581002976
0.9,0.000188814084241044,-0.006541103549126,-0.000157698115321654,0.0183795146144324,-0.000157698115321668,0.0183795146144324,0.000188393901338344,-0.00637567886037077
1,0.000171519224453555,-0.00397141039602359,-0.000128395072840156,0.0175725581576323,-0.000128395072840172,0.0175725581576323,0.000171097926897623,-0.00378598592901776
1.1,0.000161497090286461,-0.00156373510299087,-0.000102189523918072,0.0171199333783519,-0.00010218952391808,0.0171199333783519,0.000161084743876457,-0.00135770349379682
1.2,0.000158168475498866,0.000775373496192554,-7.67681544712892E-005,0.0169835986733178,-7.67681544712962E-005,0.0169835986733178,0.000157777965668144,0.00100274928112245
1.3,0.000161918317810104,0.00312984128507409,-4.98255953757704E-005,0.0171559858453251,-4.98255953757745E-005,0.0171559858453251,0.000161566521871428,0.00337946699725884
1.4,0.000174249468911266,0.00558689289483969,-1.85407013069289E-005,0.0176585427877053,-1.85407013069244E-005,0.0176585427877053,0.000173959988329727,0.00585990169282773
1.5,0.000198329091773565,0.00825113362795269,2.11848321077599E-005,0.0185472392797215,2.11848321077563E-005,0.0185472392797215,0.000198137371017485,0.00854897811356617
1.6,0.000240268570347224,0.0112650809488066,7.61380474844207E-005,0.0199277434802016,7.6138047484423E-005,0.0199277434802017,0.000240231487206497,0.0115896857508552
1.7,0.000312083871614148,0.0148457734098594,0.000158841295704747,0.0219885914546105,0.000158841295704749,0.0219885914546105,0.000312299151291292,0.0151998058081269
1.8,0.000439106217538376,0.0193603528449912,0.000295027712509546,0.0250745485257871,0.000295027712509554,0.0250745485257871,0.000439756318378944,0.0197477448036725
1.9,0.000681159437760672,0.0255053387776113,0.000544888327169674,0.0298645634314847,0.000544888327169702,0.0298645634314847,0.000682625611302486,0.025932410887168
2,0.00120611995708213,0.0348107148528582,0.00107677733660496,0.0378755499645781,0.00107677733660501,0.0378755499645781,0.00120934091156702,0.0352889964898625
2.1,0.00263638292466012,0.0514570614554422,0.00251427070707647,0.0532817320429263,0.00251427070707648,0.0532817320429262,0.00264436893229412,0.0520122275469605
2.2,0.00891677259519771,0.0923906708648675,0.00880887838506022,0.093046133045588,0.00880887838506003,0.0930461330455879,0.00894571180431643,0.0931055300797537
2.3,0.169901316591385,0.350531419377321,0.170066037473468,0.350402690314639,0.170066037473469,0.350402690314639,0.170470508885477,0.352138849029717
2.4,0.0311549510865446,-0.154501134531429,0.0310896271770984,-0.156688183425421,0.0310896271770986,-0.156688183425421,0.031260248713535,-0.154569326625084
2.5,0.00619912934051089,-0.0650052793537957,0.00609234447695141,-0.0682510060163379,0.00609234447695142,-0.068251006016338,0.00622003624965867,-0.0647466007381564
2.6,0.00273171694899168,-0.0394447967111301,0.00261873073670054,-0.0438661741811401,0.00261873073670056,-0.0438661741811401,0.00274091204938162,-0.039072578540208
2.7,0.00160725446908149,-0.027055445710595,0.00149092758884815,-0.0326939988646212,0.00149092758884817,-0.0326939988646212,0.0016127158446452,-0.0266120926323006
2.8,0.00110019671954096,-0.0195168895755782,0.000980351867571602,-0.0264106261798335,0.000980351867571592,-0.0264106261798336,0.00110405570529027,-0.0190165422525785
2.9,0.000827286479629158,-0.0142830743913645,0.000702932611518104,-0.022477217965567,0.000702932611518121,-0.022477217965567,0.000830378499535444,-0.013730971375467
3,0.000663650920763318,-0.0103121445813347,0.000533360097180537,-0.0198631687515056,0.00053336009718054,-0.0198631687515056,0.000666395369024463,-0.0097096070973302
3.1,0.000558564793108184,-0.00709565959458544,0.000420515083431978,-0.0180742922121792,0.000420515083431991,-0.0180742922121792,0.000561219912922804,-0.00644178923418285
3.2,0.000488249953349527,-0.00435275362230282,0.000340154961194591,-0.0168472546532203,0.000340154961194604,-0.0168472546532202,0.000491007993665757,-0.00364507117136731
3.3,0.000440435071487711,-0.00191211323766805,0.000279397263556325,-0.0160324206185848,0.000279397263556361,-0.0160324206185847,0.000443466407634849,-0.00114675846990799
3.4,0.000408409182751045,0.000340657082595603,0.000230688258425943,-0.0155426169661435,0.000230688258426015,-0.0155426169661434,0.000411888902950294,0.00116896224960658
3.5,0.000388463501191772,0.00248947327752044,0.000189126373105401,-0.0153287846277656,0.000189126373105476,-0.0153287846277655,0.000392593805516407,0.00338763674690201
3.6,0.000378725911225544,0.00460275712233506,0.000151115347857548,-0.0153681233752798,0.000151115347857658,-0.0153681233752797,0.000383761867894102,0.00557970680084173
3.7,0.000378658209265479,0.00674336769407372,0.000113566847439394,-0.0156589559735853,0.000113566847439508,-0.0156589559735852,0.000384943746101246,0.00781067028262756
3.8,0.000388948845641985,0.0089768154724186,7.3289529193986E-005,-0.0162200968639292,7.32895291941048E-005,-0.0162200968639292,0.000396972524473788,0.0101496313320087
3.9,0.000411753797945983,0.01138015260106,2.63237425835774E-005,-0.017094420000984,2.63237425836294E-005,-0.017094420000984,0.000422241165627109,0.0126787274777491
4,0.000451420364764934,0.0140542600803233,-3.30591960457543E-005,-0.0183579994392493,-3.30591960457385E-005,-0.0183579994392493,0.000465496298103597,0.0155063307949159
4.1,0.000516129940653252,0.0171441163786539,-0.000114219730416725,-0.0201387981879755,-0.000114219730416782,-0.0201387981879756,0.000535623648041897,0.018788972513069
4.2,0.000621636079653602,0.0208767545677578,-0.000234139326868337,-0.0226545632664441,-0.000234139326868457,-0.0226545632664441,0.000649701747511493,0.0227725215446132
4.3,0.000800486887025552,0.0256407265454926,-0.000427088678481506,-0.0262944813806527,-0.000427088678481686,-0.0262944813806529,0.000842999721842532,0.0278784909310797
4.4,0.00112796106995649,0.0321744544894631,-0.000771684813038378,-0.0318146660147927,-0.000771684813038564,-0.0318146660147927,0.00119710017092478,0.0349086923932058
4.5,0.00181041159443188,0.0420915454622648,-0.00148294438343544,-0.0408851303623819,-0.00148294438343545,-0.0408851303623819,0.00193572754104793,0.0456161047815118
4.6,0.00359022747305159,0.059744737222888,-0.00333418284581204,-0.0580324059408457,-0.00333418284581152,-0.0580324059408455,0.00386420274561335,0.0647305730005882
4.7,0.0109382042969356,0.102258530886237,-0.0109833646276603,-0.101098198660247,-0.0109833646276584,-0.101098198660247,0.0118352998015027,0.110862533402781
4.8,0.158375609971346,0.34041322361092,-0.164636171619254,-0.348125117608077,-0.164636171619246,-0.348125117608082,0.171979039416283,0.369647041107644
4.9,0.0417453881856676,-0.175061063413052,-0.0431277871566747,0.190538170570536,-0.0431277871566787,0.190538170570536,0.0454067846657062,-0.190644311361335
5,0.00765222606236812,-0.0694462121809583,-0.00755906704541659,0.0817599663162273,-0.00755906704541649,0.0817599663162273,0.00832118668871028,-0.0759599994836553
