"Freq [GHz]","re(Y(1,1)) []","im(Y(1,1)) []","re(Y(1,2)) []","im(Y(1,2)) []","re(Y(2,1)) []","im(Y(2,1)) []","re(Y(2,2)) []","im(Y(2,2)) []"
0.1,4.39719700512528E-005,0.0145965997707477,-4.36930221012307E-005,-0.0130589568970369,-4.36930221012212E-005,-0.0130589568970369,4.4240723745015E-005,0.014650119315676
0.2,0.000602751112348728,0.043366720509072,-0.000602548393938429,-0.0403024464379576,-0.000602548393938402,-0.0403024464379577,0.000606161089724478,0.0435546606548789
0.3,0.0904691100172449,0.44557398727886,-0.0907284788225024,-0.44199247168236,-0.0907284788225027,-0.441992471682359,0.0909985515455324,0.448039651212807
0.4,0.00309563350608515,-0.0725672664953929,-0.00309400436705611,0.0794074825043556,-0.00309400436705613,0.0794074825043555,0.00311231921992755,-0.0731199869507214
0.5,0.000930990295455821,-0.0338836512095223,-0.000915054734263021,0.0425285791966672,-0.000915054734263045,0.0425285791966672,0.000934875446276308,-0.0342581927502953
0.6,0.000515920251991603,-0.0206750157096606,-0.00048618133563917,0.031402373236375,-0.000486181335639165,0.031402373236375,0.000516356258706206,-0.0210258883954478
0.7,0.000361446856191382,-0.0132000924141958,-0.00031232321772997,0.0263140700718873,-0.000312323217729933,0.0263140700718873,0.000359730780357176,-0.0135727914379553
0.8,0.000292108181366955,-0.007826825174296,-0.000213725032521139,0.0237422693824963,-0.000213725032521117,0.0237422693824963,0.000288217328824568,-0.0082530197746853
0.9,0.000266209114388643,-0.00330234354250186,-0.000141505507928392,0.022616885476562,-0.000141505507928385,0.022616885476562,0.000259040225409153,-0.00381831750665435
1,0.000275040705361479,0.00102765704213426,-7.30895452986106E-005,0.0225880617410818,-7.30895452986132E-005,0.0225880617410818,0.000261689514825941,0.000367393751894913
1.1,0.000328489448392788,0.0057037003674533,1.15932972397695E-005,0.0236600490864222,1.15932972397559E-005,0.0236600490864222,0.000301805618010442,0.00480153849334787
1.2,0.000467169779566104,0.0114583335699853,0.000147173175183118,0.0261863228414826,0.000147173175183108,0.0261863228414826,0.000406696566701738,0.0101068871753741
1.3,0.000836473180407309,0.01980770573445,0.00042780997260125,0.0312051395818783,0.000427809972601237,0.0312051395818783,0.000662809425472914,0.0174487412127506
1.4,0.00227200528990536,0.0356097998106354,0.00126277042024771,0.0419945865316088,0.00126277042024766,0.0419945865316088,0.00141277855237657,0.0299212344050008
1.5,0.0518038726259252,0.0903908170971575,0.0164605466177586,0.0766141689655818,0.0164605466177586,0.0766141689655818,0.00782683764579118,0.0615426508754205
1.6,0.0941688143025048,0.211677469900856,0.0965703641642204,0.243533346301628,0.0965703641642208,0.243533346301627,0.100687607449459,0.252408136040639
1.7,0.0154020984549939,-0.105381211580642,0.0159413330499492,-0.0995806872244385,0.0159413330499491,-0.0995806872244384,0.0171504946311125,-0.111344879918288
1.8,0.00324363277203581,-0.0473563734805699,0.00313826109870545,-0.0413057053334792,0.00313826109870548,-0.0413057053334791,0.00347622582926687,-0.0485998150767885
1.9,0.00152088215787849,-0.0302804172117079,0.00135992656526355,-0.0254859843152774,0.00135992656526359,-0.0254859843152774,0.00158170320674775,-0.0306435619589391
2,0.000955309937529501,-0.0216791207015937,0.000771986268168802,-0.0182995520697282,0.000771986268168827,-0.0182995520697282,0.000966827205388722,-0.0217691345149345
2.1,0.000719151080702534,-0.0162033698182311,0.000486751401440334,-0.0143302770009907,0.000486751401440366,-0.0143302770009907,0.000699431008908221,-0.0162205312958616
2.2,0.000702610319402414,-0.0120671140875834,0.000251294034565825,-0.0120221726040556,0.000251294034565892,-0.0120221726040555,0.000611323845379483,-0.0121710467936916
2.3,0.00261778681351322,-0.00817827797429809,-0.00128209919552781,-0.0110115605875416,-0.00128209919552811,-0.0110115605875414,0.00156177508622365,-0.00867079930777104
